Reaction_No,Reactant_1_Name,Reactant_1_Short_Hand,Reactant_1_eq,Reactant_1_mmol,Reactant_2_Name,Reactant_2_eq,Catalyst_1_Short_Hand,Catalyst_1_eq,Ligand_Short_Hand,Ligand_eq,Reagent_1_Short_Hand,Reagent_1_eq,Solvent_1_Short_Hand,Product_Yield_PCT_Area_UV,Product_Yield_Mass_Ion_Count,,
28,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Cy)3,0.1250,CsF,2.5,MeCN,6.49,37162.74,,
29,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(o-Tol)3,0.1250,CsF,2.5,MeCN,2.10,2770.51,,
30,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,CataCXium A,0.1250,CsF,2.5,MeCN,3.32,9690.61,,
31,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,SPhos,0.1250,CsF,2.5,MeCN,68.44,77744.35,,
32,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dtbpf,0.1250,CsF,2.5,MeCN,5.84,6066.00,,
33,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,XPhos,0.1250,CsF,2.5,MeCN,73.02,83146.08,,
34,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dppf,0.1250,CsF,2.5,MeCN,13.20,4335.30,,
35,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,Xantphos,0.1250,CsF,2.5,MeCN,2.10,517.93,,
36,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,None,,CsF,2.5,MeCN,10.22,40428.33,,
37,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(tBu)3,0.1250,K3PO4,2.5,MeCN,3.00,4636.03,,
38,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Ph)3 ,0.1250,K3PO4,2.5,MeCN,4.73,11853.53,,
39,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,AmPhos,0.1250,K3PO4,2.5,MeCN,2.58,3677.14,,
40,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Cy)3,0.1250,K3PO4,2.5,MeCN,5.83,36076.51,,
41,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(o-Tol)3,0.1250,K3PO4,2.5,MeCN,1.88,2827.82,,
42,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,CataCXium A,0.1250,K3PO4,2.5,MeCN,3.69,10833.31,,
43,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,SPhos,0.1250,K3PO4,2.5,MeCN,53.34,63071.20,,
44,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dtbpf,0.1250,K3PO4,2.5,MeCN,5.80,5469.16,,
45,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,XPhos,0.1250,K3PO4,2.5,MeCN,60.67,63192.90,,
46,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dppf,0.1250,K3PO4,2.5,MeCN,14.39,3661.02,,
47,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,Xantphos,0.1250,K3PO4,2.5,MeCN,2.27,700.15,,
48,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,None,,K3PO4,2.5,MeCN,10.00,39301.82,,
49,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(tBu)3,0.1250,KOH,2.5,MeCN,5.60,9067.92,,
50,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Ph)3 ,0.1250,KOH,2.5,MeCN,4.82,11886.08,,
51,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,AmPhos,0.1250,KOH,2.5,MeCN,2.49,4111.19,,
52,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Cy)3,0.1250,KOH,2.5,MeCN,6.46,38789.50,,
53,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(o-Tol)3,0.1250,KOH,2.5,MeCN,2.06,3781.08,,
54,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,CataCXium A,0.1250,KOH,2.5,MeCN,3.22,8983.80,,
55,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,SPhos,0.1250,KOH,2.5,MeCN,78.42,90780.38,,
56,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dtbpf,0.1250,KOH,2.5,MeCN,8.94,8182.37,,
57,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,XPhos,0.1250,KOH,2.5,MeCN,92.22,111091.48,,
58,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dppf,0.1250,KOH,2.5,MeCN,14.22,7878.91,,
59,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,Xantphos,0.1250,KOH,2.5,MeCN,2.35,1067.08,,
60,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,None,,KOH,2.5,MeCN,18.16,67813.47,,
61,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(tBu)3,0.1250,LiOtBu,2.5,MeCN,7.08,11614.38,,
62,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Ph)3 ,0.1250,LiOtBu,2.5,MeCN,5.45,12111.78,,
63,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,AmPhos,0.1250,LiOtBu,2.5,MeCN,1.99,3362.72,,
64,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Cy)3,0.1250,LiOtBu,2.5,MeCN,6.08,32427.20,,
65,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(o-Tol)3,0.1250,LiOtBu,2.5,MeCN,2.45,4340.44,,
66,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,CataCXium A,0.1250,LiOtBu,2.5,MeCN,3.57,9150.86,,
67,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,SPhos,0.1250,LiOtBu,2.5,MeCN,85.77,95117.75,,
68,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dtbpf,0.1250,LiOtBu,2.5,MeCN,9.78,9542.27,,
69,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,XPhos,0.1250,LiOtBu,2.5,MeCN,92.83,102595.86,,
70,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dppf,0.1250,LiOtBu,2.5,MeCN,15.41,6378.37,,
71,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,Xantphos,0.1250,LiOtBu,2.5,MeCN,2.43,1126.00,,
72,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,None,,LiOtBu,2.5,MeCN,17.18,68542.48,,
73,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(tBu)3,0.1250,Et3N,2.5,MeCN,7.82,13319.81,,
74,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Ph)3 ,0.1250,Et3N,2.5,MeCN,6.14,11270.71,,
75,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,AmPhos,0.1250,Et3N,2.5,MeCN,2.13,3474.55,,
76,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Cy)3,0.1250,Et3N,2.5,MeCN,5.05,26015.73,,
77,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(o-Tol)3,0.1250,Et3N,2.5,MeCN,1.98,3662.19,,
78,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,CataCXium A,0.1250,Et3N,2.5,MeCN,4.47,11625.47,,
79,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,SPhos,0.1250,Et3N,2.5,MeCN,78.96,96066.25,,
80,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dtbpf,0.1250,Et3N,2.5,MeCN,7.00,7068.83,,
81,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,XPhos,0.1250,Et3N,2.5,MeCN,90.30,95108.57,,
82,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dppf,0.1250,Et3N,2.5,MeCN,15.36,7148.57,,
83,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,Xantphos,0.1250,Et3N,2.5,MeCN,2.51,989.11,,
84,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,None,,Et3N,2.5,MeCN,19.51,70616.92,,
85,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(tBu)3,0.1250,None,2.5,MeCN,9.76,16376.61,,
86,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Ph)3 ,0.1250,None,2.5,MeCN,4.15,13262.26,,
87,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,AmPhos,0.1250,None,2.5,MeCN,1.53,3331.08,,
88,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Cy)3,0.1250,None,2.5,MeCN,5.80,30328.13,,
89,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(o-Tol)3,0.1250,None,2.5,MeCN,2.65,4243.24,,
90,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,CataCXium A,0.1250,None,2.5,MeCN,4.43,12910.26,,
91,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,SPhos,0.1250,None,2.5,MeCN,66.80,75956.20,,
92,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dtbpf,0.1250,None,2.5,MeCN,6.42,6849.33,,
93,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,XPhos,0.1250,None,2.5,MeCN,78.23,83904.55,,
94,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dppf,0.1250,None,2.5,MeCN,13.95,6493.08,,
95,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,Xantphos,0.1250,None,2.5,MeCN,2.11,809.64,,
96,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,None,,None,2.5,MeCN,8.29,28481.36,,
97,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(tBu)3,0.1250,NaOH,2.5,THF,33.79,46748.74,,
98,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Ph)3 ,0.1250,NaOH,2.5,THF,8.08,9823.26,,
99,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,AmPhos,0.1250,NaOH,2.5,THF,61.20,65207.40,,
100,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Cy)3,0.1250,NaOH,2.5,THF,69.94,237558.38,,
101,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(o-Tol)3,0.1250,NaOH,2.5,THF,7.20,13195.00,,
102,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,CataCXium A,0.1250,NaOH,2.5,THF,79.47,256433.68,,
103,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,SPhos,0.1250,NaOH,2.5,THF,87.06,94998.11,,
104,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dtbpf,0.1250,NaOH,2.5,THF,12.70,27853.76,,
105,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,XPhos,0.1250,NaOH,2.5,THF,88.97,85607.99,,
106,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dppf,0.1250,NaOH,2.5,THF,27.93,16943.26,,
107,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,Xantphos,0.1250,NaOH,2.5,THF,6.11,10507.55,,
108,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,None,,NaOH,2.5,THF,20.00,51980.56,,
109,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(tBu)3,0.1250,NaHCO3,2.5,THF,66.74,66473.58,,
110,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Ph)3 ,0.1250,NaHCO3,2.5,THF,8.11,12207.89,,
111,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,AmPhos,0.1250,NaHCO3,2.5,THF,57.48,71710.58,,
112,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Cy)3,0.1250,NaHCO3,2.5,THF,61.89,263714.76,,
113,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(o-Tol)3,0.1250,NaHCO3,2.5,THF,2.23,5509.06,,
114,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,CataCXium A,0.1250,NaHCO3,2.5,THF,70.45,229816.31,,
115,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,SPhos,0.1250,NaHCO3,2.5,THF,79.85,87916.29,,
116,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dtbpf,0.1250,NaHCO3,2.5,THF,9.60,32750.31,,
117,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,XPhos,0.1250,NaHCO3,2.5,THF,80.77,90618.75,,
118,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dppf,0.1250,NaHCO3,2.5,THF,19.24,16490.13,,
119,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,Xantphos,0.1250,NaHCO3,2.5,THF,5.20,13373.46,,
120,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,None,,NaHCO3,2.5,THF,8.33,24316.82,,
121,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(tBu)3,0.1250,CsF,2.5,THF,39.17,55746.74,,
122,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Ph)3 ,0.1250,CsF,2.5,THF,7.24,14962.33,,
123,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,AmPhos,0.1250,CsF,2.5,THF,44.98,46546.91,,
124,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Cy)3,0.1250,CsF,2.5,THF,50.95,221587.37,,
125,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(o-Tol)3,0.1250,CsF,2.5,THF,2.23,5386.74,,
126,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,CataCXium A,0.1250,CsF,2.5,THF,61.29,217114.79,,
127,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,SPhos,0.1250,CsF,2.5,THF,60.83,72183.68,,
128,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dtbpf,0.1250,CsF,2.5,THF,9.94,30859.05,,
129,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,XPhos,0.1250,CsF,2.5,THF,53.52,65529.00,,
130,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dppf,0.1250,CsF,2.5,THF,18.18,11452.80,,
131,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,Xantphos,0.1250,CsF,2.5,THF,3.68,560.83,,
132,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,None,,CsF,2.5,THF,8.42,25981.95,,
133,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(tBu)3,0.1250,K3PO4,2.5,THF,41.23,49419.39,,
